time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-24 00:00:00+00:00,0,0,3,1
2023-02-28 00:00:00+00:00,1,1,0,0
2023-03-02 00:00:00+00:00,2,1,0,0
2023-03-04 00:00:00+00:00,0,0,5,1
2023-03-07 00:00:00+00:00,6,6,20,1
2023-03-08 00:00:00+00:00,1,1,0,0
2023-03-09 00:00:00+00:00,2,2,9,1
2023-03-10 00:00:00+00:00,2,2,3,1
2023-03-11 00:00:00+00:00,2,2,0,0
2023-03-12 00:00:00+00:00,2,2,3,1
2023-03-13 00:00:00+00:00,6,6,0,0
2023-03-14 00:00:00+00:00,2,2,0,0
2023-03-15 00:00:00+00:00,3,3,5,1
2023-03-16 00:00:00+00:00,1,1,2,1
